graph: 646, count: 2, tot checked: 4272048
graph: 647, count: 2, tot checked: 4272048
graph: 648, count: 27, tot checked: 4272048
graph: 649, count: 28, tot checked: 4272048
graph: 650, count: 27, tot checked: 4272048
graph: 651, count: 27, tot checked: 4272048
graph: 652, count: 27, tot checked: 4272048
graph: 653, count: 27, tot checked: 4272048
graph: 654, count: 27, tot checked: 4272048
graph: 655, count: 28, tot checked: 4272048
graph: 656, count: 27, tot checked: 4272048
graph: 657, count: 27, tot checked: 4272048
graph: 658, count: 28, tot checked: 4272048
graph: 659, count: 27, tot checked: 4272048
graph: 660, count: 27, tot checked: 4272048
graph: 661, count: 28, tot checked: 4272048
graph: 662, count: 27, tot checked: 4272048
graph: 663, count: 27, tot checked: 4272048
graph: 664, count: 27, tot checked: 4272048
graph: 665, count: 27, tot checked: 4272048
graph: 666, count: 27, tot checked: 4272048
